,company,title
0,Zizoo,Marketing Data Analyst (m/f/x)
1,ecoligo,Data Analyst - B2C Marketing (f/m/x)
2,COMO - We are hiring!,Marketing Data Analyst (m/w/x)
3,A. Lange & Söhne,Marketing Data Analyst (m/w/d)
4,gocomo.io,Marketing Data Analyst - Performance Marketing / Home Office (m/f/d)
5,Wolt,Data Analyst
6,Siemens Energy,Business Intelligence Data Analyst (f/m/d)
7,Yara International,"Data Analyst, Global Insights & Behavioural Analytics"
8,IMAGO.,Business Intelligence/Data Analyst Working Student (f/m/d)
9,Beamery,Business Intelligence Analyst
10,Bundesdruckerei-Gruppe,BI-Analyst/ Data Analyst (m/w/d)
11,Smartly.io,"Data Analyst, Business and Product Analytics"
12,ADAC Service GmbH,Business & Data Analyst
13,Nigel Frank International,Data Analyst - Power BI (w/m/d)
14,Nigel Frank International,Data Analyst - Power BI (w/m/d)
15,Nigel Frank International,Data Analyst - Power BI (w/m/d)
16,Nigel Frank International,Data Analyst - Power BI (w/m/d) - Berlin
17,Nigel Frank International,Data Analyst - Power BI (w/m/d) - Berlin
18,Yara International,"Senior Data Analyst, Global Insights & Behavioural Analytics"
19,NEW YORKER,BI DATA ANALYST / BUSINESS ANALYST* SCHWERPUNKT MICROSOFT
20,Zalando,Senior Data Analyst (all genders)
21,Seven Senders,Business Analyst - Customer Insights (f/m/x)
22,DKB | Deutsche Kreditbank AG,Business & Data Analyst (m/w/d)
23,Vattenfall,(Advanced) Business Data Analyst
24,]init[ - Services for the eSociety,BI Data Analyst / Engineer (m/w/d)
25,]init[ - Services for the eSociety,BI Data Analyst / Engineer (m/w/d)
26,Takeda,BI / Data Scientist / Analyst (w/m/d) Onkologie
27,Zalando,Senior Customer Data Analyst (all genders)
28,AutoScout24,Senior Digital Marketing Analyst (m/f/d)
29,Yara International,Digital Business Analyst (f/m/d)
30,Agoda,"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)"
31,Taxfix,Marketing Analyst (d/f/m)
32,Spark Networks,Marketing Analyst (f/m/d)
33,ImmoScout24,Senior Digital Marketing Analyst (d/f/m)
34,Spark Networks,Marketing Analyst (f/m/d)
35,abtis GmbH,"(Junior) SOC Analyst (m/w/d) - Business Analysis, IT-Security, Ingenieur"
36,verovis,"Consultant – Data Analytics (all genders) - Business Analysis, Consulting, Datenbankentwicklung / BI, Ingenieur"
37,Zalando,"Senior Customer Data Analyst, Customer Segmentation and Targeting (all genders)"
38,ImmoScout24,Senior Digital Marketing Analyst (d/f/m)
39,Deutsche Bahn International,Experte Data-Analysis und Business-Analytics (TM1) (w/m/d)
40,Deutsche Bahn,Experte Data-Analysis und Business-Analytics (TM1) (w/m/d)
41,Wunderflats,Marketing Analyst (f/m/d)
42,Ledgy,Marketing Operations Analyst
43,BearingPoint,Analyst/Consultant Thought Leadership and Digital Marketing Analytics (m/w/d) in Berlin
44,Yara International,Business Analyst - Digital
45,publicplan GmbH,Business Analyst (m/w/d) Business Intelligence- 100% remote
46,Babbel,Team Lead Business Analytics (all genders)
47,DKB | Deutsche Kreditbank AG,Senior Specialist / Business Analyst Risk Data and Risk Methods (m/w/d)
48,NTT DATA DACH,(Junior) Business/Data Analyst - Industry Consulting & Insurance (w/m/x)
49,Just Eat Takeaway.com,Business Analyst - CS Capacity Planning
50,Digital Charging Solutions,Business Analyst IT (f/m/d)
51,brands4friends - Private Sale GmbH,Campaign Analyst (m/w/d)
52,Grafton Recruitment,Social Media Content Analyst (m/w/d)
53,Scout24 Group,Senior Digital Marketing Analyst (d/f/m)
54,Babbel,Team Lead Business Analytics (all genders)
55,Verivox GmbH,Business Analyst (m/w/d)
56,Scout24 Group,Business Analyst in Sales Analytics (d/w/m)
57,Talon.One,Business Analyst
58,Parity Technologies,Business Analyst
